timestamp,stock_id,deal_volume,deal_amount,open_price,high_price,low_price,close_price,price_diff,trade_count,estimated_day_volume,pct_of_yesterday_avg,total_in_volume,total_out_volume,buy_prices,buy_volumes,sell_prices,sell_volumes,byIndexFlag,extra_data
20260515 09:40:45,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[162, 324, 344, 284, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[189, 828, 254, 508, 505]",50,{}
20260515 09:40:50,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[162, 324, 345, 284, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[189, 829, 254, 508, 505]",50,{}
20260515 09:40:55,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[172, 324, 345, 284, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[184, 829, 256, 509, 505]",50,{}
20260515 09:41:01,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[174, 324, 346, 284, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[188, 829, 255, 509, 506]",50,{}
20260515 09:41:06,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[174, 325, 346, 296, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[185, 828, 255, 509, 505]",50,{}
20260515 09:41:11,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[177, 324, 346, 296, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[182, 829, 255, 509, 505]",50,{}
20260515 09:41:16,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[182, 324, 344, 301, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[182, 829, 254, 509, 507]",50,{}
20260515 09:41:21,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[182, 324, 344, 301, 661]","[22950000, 23000000, 23050000, 23100000, 23150000]","[182, 827, 255, 509, 507]",50,{}
20260515 09:41:26,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[183, 324, 343, 301, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[178, 829, 255, 510, 509]",50,{}
20260515 09:41:31,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[185, 324, 342, 302, 659]","[22950000, 23000000, 23050000, 23100000, 23150000]","[180, 832, 255, 509, 508]",50,{}
20260515 09:41:36,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[185, 324, 344, 305, 657]","[22950000, 23000000, 23050000, 23100000, 23150000]","[179, 832, 256, 511, 508]",50,{}
20260515 09:41:41,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[186, 320, 346, 305, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[177, 835, 257, 510, 509]",50,{}
20260515 09:41:46,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[193, 322, 346, 305, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[178, 835, 257, 510, 510]",50,{}
20260515 09:41:51,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[197, 320, 347, 303, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[178, 835, 257, 513, 508]",50,{}
20260515 09:41:56,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[202, 320, 349, 303, 656]","[22950000, 23000000, 23050000, 23100000, 23150000]","[177, 836, 257, 513, 508]",50,{}
20260515 09:42:01,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[200, 322, 345, 305, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 835, 257, 512, 509]",50,{}
20260515 09:42:06,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[209, 324, 348, 303, 655]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 833, 258, 512, 507]",50,{}
20260515 09:42:11,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[209, 325, 347, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[207, 834, 258, 512, 510]",50,{}
20260515 09:42:16,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[210, 324, 347, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[204, 835, 258, 512, 509]",50,{}
20260515 09:42:21,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[209, 324, 347, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[204, 837, 258, 512, 510]",50,{}
20260515 09:42:26,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[212, 325, 347, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[205, 843, 261, 512, 510]",50,{}
20260515 09:42:31,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[214, 325, 348, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 838, 261, 513, 510]",50,{}
20260515 09:42:36,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[213, 317, 349, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[207, 838, 262, 513, 510]",50,{}
20260515 09:42:41,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[214, 317, 351, 303, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 839, 261, 513, 508]",50,{}
20260515 09:42:46,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[229, 322, 351, 302, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[208, 841, 263, 513, 507]",50,{}
20260515 09:42:51,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[227, 322, 347, 304, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[209, 843, 263, 513, 509]",50,{}
